URL,Label
https://google.com,good
https://facebook.com,good
https://amazon.com,good
https://apple.com,good
https://microsoft.com,good
https://netflix.com,good
https://twitter.com,good
https://instagram.com,good
https://linkedin.com,good
https://youtube.com,good
http://googl3.com,bad
http://facebo0k.com,bad
http://amaz0n.com,bad
http://appl3.com,bad
http://micr0s0ft.com,bad
http://netfl1x.com,bad
http://tw1tter.com,bad
http://1nstagram.com,bad
http://l1nked1n.com,bad
http://y0utube.com,bad
https://g00gle.com-secure.info,bad
https://faceb00k-login.net,bad
https://amaz0n-account.com,bad
https://apple-id-confirm.org,bad
https://micr0s0ft-verify.com,bad
https://netfl1x-billing.info,bad
https://tw1tter-login.net,bad
https://1nstagram-verify.com,bad
https://l1nked1n-secure.net,bad
https://y0utube-account.com,bad
